minute,mid_open,mid_close,mid_mean,spread_mean,spread_std,spread_max,relative_spread_mean,ask_depth_mean,bid_depth_mean,imbalance_1_mean,imbalance_3_mean,imbalance_5_mean,imbalance_10_mean,ofi_sum,ofi_mean,ofi_std,event_count,event_size_total,trade_volume,n_new_order,n_partial_cancel,n_full_deletion,n_execution,price_change,depth_imbalance,execution_ratio,mid_return_1m,mid_log_return_1m,hour,minute_of_hour,clock,mid_ma10
570,30.97,31.03,31.00687014667817,0.015845556514236265,0.006936816679893507,0.05000000000000071,0.0005110493148600207,27408.517256255393,9317.603537532355,-0.24467066643383636,-0.4541348100240594,-0.4602882258214759,-0.40713155110850713,39829.0,17.182484900776533,634.6516591373469,2318,960665,100726,1153,8,819,338,0.060000000000002274,-0.49258983327700456,0.1458153580672994,0.0,0.0,9,30,09:30,31.03
571,31.03,31.075,31.04872829131653,0.01359663865546194,0.004949143424868202,0.030000000000001137,0.000437951416665441,28868.341736694678,9319.61456582633,-0.1149453708612221,-0.33429372088698595,-0.49308257796546484,-0.37134663378084526,81633.0,22.866386554621847,364.01780292722657,3570,1109998,113923,1699,43,1421,407,0.04499999999999815,-0.5119081790082027,0.11400560224089636,0.04499999999999815,0.0014491589364857838,9,31,09:31,31.052500000000002
572,31.075,31.055,31.073449738903395,0.013583550913837714,0.0048238944701963285,0.030000000000001137,0.0004371390505809082,13492.869451697128,12439.499347258487,0.04081287053125818,0.09937950967474722,-0.04875601485756545,-0.295330347603945,-12213.0,-7.971932114882507,405.4913074128484,1532,542227,33473,739,4,637,152,-0.019999999999999574,-0.040619895259281696,0.09921671018276762,-0.019999999999999574,-0.0006438113855082861,9,32,09:32,31.05333333333333
573,31.055,31.060000000000002,31.095779993567064,0.014345448697330237,0.004957768500075741,0.020000000000003126,0.00046132358818260665,20437.152460598263,14443.60051463493,0.11025701935026216,-0.0078845048320003,-0.14866511179834818,-0.33005063750354513,-8944.0,-2.8768092634287554,799.1607107711608,3109,1152591,78816,1518,25,1341,225,0.005000000000002558,-0.17182977529811377,0.07237053715020907,0.005000000000002558,0.0001609917092744162,9,33,09:33,31.055
574,31.060000000000002,31.005000000000003,30.993534338358458,0.014123953098827507,0.004923480745565675,0.020000000000003126,0.0004557100453026791,14361.180904522613,19741.44489112228,-0.11070074944733097,0.037903852847764104,0.08005680491312675,0.16299604050320268,-43206.0,-14.474371859296483,379.2814014215463,2985,1025656,43411,1424,52,1331,178,-0.054999999999999716,0.1577668540493078,0.05963149078726968,-0.054999999999999716,-0.001772335918699408,9,34,09:34,31.044999999999998
575,31.005000000000003,31.055,31.033955790615675,0.015272579332790949,0.004993241709559889,0.020000000000003126,0.0004921223671046694,15257.28261459181,23577.589096826687,0.20934018736896057,0.2482532040003196,0.22185327524015314,0.24066166452432905,47458.0,12.871711418497423,387.7809479205117,3687,1270605,38718,1866,20,1628,173,0.04999999999999716,0.21424833186170877,0.046921616490371576,0.04999999999999716,0.001611344209424992,9,35,09:35,31.046666666666667
576,31.055,31.045,31.054314895570347,0.015382143676841464,0.004985947442140669,0.019999999999999574,0.0004953421766766906,18453.625659857702,29040.712875831996,0.197371731498063,0.08134134741954988,0.17054370173866562,0.13202569427278593,-42717.0,-9.804223089281615,433.4104868808183,4357,1602505,56226,2158,22,1971,206,-0.00999999999999801,0.2229126153219001,0.0472802386963507,-0.00999999999999801,-0.00032206119441013925,9,36,09:36,31.046428571428574
577,31.045,31.025,31.040240226095143,0.01683466792275028,0.0046523315347451475,0.019999999999999574,0.0005423291456686411,25634.475741874707,70958.82242110222,0.06749813073948847,-0.026061868323055473,0.46998890137991767,0.3211959318802212,-35926.0,-16.922279792746114,516.8249767894761,2123,975626,8935,1061,3,1007,52,-0.020000000000003126,0.4692286891659302,0.024493641073951956,-0.020000000000003126,-0.0006444337261855004,9,37,09:37,31.04375
578,31.025,30.994999999999997,31.007589479392625,0.013053145336226066,0.004606654447258565,0.020000000000003126,0.0004209655059479032,25469.609002169196,56702.57321041215,0.29379729877765975,0.4336114071152608,0.3419590639463249,0.23005155198740254,-92601.0,-50.21746203904555,1064.3969789559178,1844,771647,90470,897,10,795,142,-0.030000000000001137,0.3800916973026534,0.0770065075921909,-0.030000000000001137,-0.0009674299367881112,9,38,09:38,31.038333333333338
579,30.994999999999997,30.935000000000002,30.959806425702812,0.016428915662650284,0.004795208270965917,0.029999999999997584,0.0005306476784962444,28416.831807228915,28518.560642570283,-0.16020017381512847,-0.07491463897108681,0.000999006230502017,-0.008653257555317978,-85541.0,-13.741526104417671,594.2843324440587,6225,2924387,73700,3080,43,2839,263,-0.05999999999999517,0.0017867416200048796,0.04224899598393574,-0.05999999999999517,-0.001937672170930771,9,39,09:39,31.028000000000002
