number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.22454611474219313,2026-06-15 06:12:26.746558,2026-06-15 06:12:30.570838,0 days 00:00:03.824280,0.3119890406724053,5,425,3.968793330444372,0.13125830316209655,0.18410729205738682,COMPLETE
1,0.29095899811288384,2026-06-15 06:12:30.579946,2026-06-15 06:12:40.049384,0 days 00:00:09.469438,1.9398197043239886,5,234,5.105903209394756,0.10440040750544663,0.10838581269344748,COMPLETE
2,0.3068376068376068,2026-06-15 06:12:40.058714,2026-06-15 06:12:43.947844,0 days 00:00:03.889130,1.0495128632644757,3,700,1.5254729458052607,0.01777174904859463,0.32877474139911184,COMPLETE
3,0.33016665510944687,2026-06-15 06:12:43.955415,2026-06-15 06:12:58.249463,0 days 00:00:14.294048,0.7327236865873834,5,459,1.3787764619353768,0.022004527434741072,0.3135775732257744,COMPLETE
4,0.24543572369659325,2026-06-15 06:12:58.257133,2026-06-15 06:13:00.247467,0 days 00:00:01.990334,0.09290082543999545,3,474,3.2676417657817622,0.0838375512850209,1.0150667045928572,COMPLETE
5,0.30625476735316554,2026-06-15 06:13:00.252772,2026-06-15 06:13:07.896684,0 days 00:00:07.643912,1.6167946962329223,3,565,8.88966790701893,0.015869086642715014,4.370990468130502,COMPLETE
6,0.29401302665416873,2026-06-15 06:13:07.902263,2026-06-15 06:13:16.860665,0 days 00:00:08.958402,0.9903538202225404,5,383,2.7551959649510764,0.01302780710309028,0.16119044727609197,COMPLETE
7,0.40781305114638444,2026-06-15 06:13:16.866108,2026-06-15 06:13:20.871357,0 days 00:00:04.005249,1.0401360423556216,4,220,4.597505784732165,0.1173393765991262,0.3385226783451977,COMPLETE
8,0.27572016460905346,2026-06-15 06:13:20.879046,2026-06-15 06:14:16.668208,0 days 00:00:55.789162,1.7896547008552977,6,528,5.958443469672519,0.016497027917250065,3.946212980759093,COMPLETE
9,0.4792642140468228,2026-06-15 06:14:16.673640,2026-06-15 06:14:17.913075,0 days 00:00:01.239435,0.6506606615265287,3,559,1.5703008378806709,0.12139707695554378,0.11935477742481386,COMPLETE
10,0.36057196436943273,2026-06-15 06:14:17.921354,2026-06-15 06:14:56.175109,0 days 00:00:38.253755,1.4663966888090416,6,778,1.0422259339479671,0.04542131010106149,1.2808601572828517,COMPLETE
11,0.4166056166056166,2026-06-15 06:14:56.180713,2026-06-15 06:15:00.196550,0 days 00:00:04.015837,0.5921744263758657,4,209,2.3966479465486303,0.06457778783764691,0.5162807981752955,COMPLETE
12,0.30625476735316554,2026-06-15 06:15:00.202402,2026-06-15 06:15:04.483479,0 days 00:00:04.281077,0.5993898233318501,4,327,2.1518390893493295,0.0589852141202206,0.8125164239449126,COMPLETE
13,0.3883083083083083,2026-06-15 06:15:04.489095,2026-06-15 06:15:08.517632,0 days 00:00:04.028537,0.548969946564962,4,636,2.0414980287819877,0.04068201593082868,0.6256278997611275,COMPLETE
14,0.3115169964485033,2026-06-15 06:15:08.523220,2026-06-15 06:15:11.346968,0 days 00:00:02.823748,0.012780014183288002,4,268,1.7834450022944264,0.07445098616944261,2.1501234871487256,COMPLETE
15,0.4442039442039442,2026-06-15 06:15:11.352551,2026-06-15 06:15:14.947646,0 days 00:00:03.595095,0.828401225520987,3,800,1.0912564285351376,0.030927255879843525,0.4799678697055279,COMPLETE
16,0.4071996259934549,2026-06-15 06:15:14.953528,2026-06-15 06:15:17.316783,0 days 00:00:02.363255,1.3024558620845983,3,788,1.0042831995479637,0.03360044851860542,0.18885896649884634,COMPLETE
17,0.25396825396825395,2026-06-15 06:15:17.322586,2026-06-15 06:15:18.635371,0 days 00:00:01.312785,0.8317837106182677,3,680,1.3106323224887593,0.027956154639960342,0.1068768670624104,COMPLETE
18,0.4879057035919782,2026-06-15 06:15:18.640786,2026-06-15 06:15:28.518133,0 days 00:00:09.877347,0.34039526412148013,3,598,1.251754369874592,0.010837358624202861,1.6500757597822175,COMPLETE
19,0.47194139194139195,2026-06-15 06:15:28.525865,2026-06-15 06:15:39.077567,0 days 00:00:10.551702,0.29057011995580656,3,598,1.705252994813139,0.010582694587531555,1.984193007721301,COMPLETE
20,0.45212121212121215,2026-06-15 06:15:39.083332,2026-06-15 06:15:54.384276,0 days 00:00:15.300944,0.3081027247840324,4,523,1.2892473525869266,0.024065366130164332,2.759216795674802,COMPLETE
21,0.45474120082815733,2026-06-15 06:15:54.389999,2026-06-15 06:16:04.966253,0 days 00:00:10.576254,0.31209645471727554,3,606,1.6968210354694921,0.010134744023439907,2.006746510809348,COMPLETE
22,0.4876876876876877,2026-06-15 06:16:04.972158,2026-06-15 06:16:14.818371,0 days 00:00:09.846213,0.42422858151845744,3,604,1.7053997644486794,0.011988327122223153,1.5138937472728429,COMPLETE
23,0.3628282828282828,2026-06-15 06:16:14.824157,2026-06-15 06:16:20.617586,0 days 00:00:05.793429,0.4387699534737767,3,692,2.554859991356369,0.01311604688093562,1.001935446605371,COMPLETE
24,0.27783631893220934,2026-06-15 06:16:20.623347,2026-06-15 06:16:22.730760,0 days 00:00:02.107413,0.1521264010232785,3,538,2.003070932896382,0.01974029940282718,1.483420102108964,COMPLETE
25,0.49682957760218516,2026-06-15 06:16:22.736438,2026-06-15 06:16:34.494825,0 days 00:00:11.758387,0.4801569857474747,3,647,1.2488087495992817,0.012482446421010216,2.7048119373238775,COMPLETE
26,0.45991882293252156,2026-06-15 06:16:34.502257,2026-06-15 06:16:45.939208,0 days 00:00:11.436951,0.4154899659865444,4,733,1.2146513339706386,0.013137988407546979,2.6916495130886813,COMPLETE
27,0.5089403350272915,2026-06-15 06:16:45.945115,2026-06-15 06:16:53.586884,0 days 00:00:07.641769,0.1654350819009845,3,642,1.4182130648770122,0.0120958021728937,3.0628931886419317,COMPLETE
28,0.38980025822131087,2026-06-15 06:16:53.594208,2026-06-15 06:17:11.334622,0 days 00:00:17.740414,0.14598984020613512,4,651,1.19691138981182,0.015421243450336505,3.319268981269609,COMPLETE
29,0.49963123296456624,2026-06-15 06:17:11.340467,2026-06-15 06:17:21.236822,0 days 00:00:09.896355,0.2317003983546722,3,737,1.3819212821298228,0.0102277730641005,4.674058114450025,COMPLETE
