n_features,val_accuracy,val_balanced_accuracy,val_macro_f1
10,0.4444444444444444,0.2773109243697479,0.3011204481792717
15,0.3888888888888889,0.2759103641456582,0.3221445221445221
20,0.2962962962962963,0.2903828197945845,0.26838620316881184
25,0.2777777777777778,0.23482726423902892,0.2582043343653251
30,0.3888888888888889,0.3216619981325864,0.34994225375350596
35,0.2777777777777778,0.26283846872082167,0.25639911136868543
40,0.35185185185185186,0.30205415499533145,0.3127865961199295
45,0.42592592592592593,0.35527544351073764,0.35539413505515194
50,0.5370370370370371,0.41409897292250236,0.42017943409247754
55,0.48148148148148145,0.38468720821662,0.39190883190883197
60,0.5,0.33473389355742295,0.34841269841269845
65,0.46296296296296297,0.3291316526610644,0.3519191919191919
70,0.4444444444444444,0.30532212885154064,0.33398226260004327
75,0.42592592592592593,0.35527544351073764,0.35527887819908194
80,0.37037037037037035,0.2661064425770308,0.2821869488536155
85,0.37037037037037035,0.31185807656395886,0.3140637140637141
90,0.35185185185185186,0.242296918767507,0.2698412698412698
95,0.37037037037037035,0.25210084033613445,0.27777777777777773
100,0.37037037037037035,0.25210084033613445,0.26666666666666666
